Frequency (Hz),Duration (ns),Angle of Arrival (degrees),Strength,current_time,Cluster_Angle,Cluster_Frequency
706.8925560615764,89.80114291259194,93.52812022288828,61.31457755460934,13:44:07.267,-1,-1
934.2779318527124,25.5694396312283,35.52636842518267,96.08463784087304,13:44:07.269,0,-1
383.5187229135302,18.81789996635384,63.77175567570256,15.14097261532375,13:44:07.271,0,-1
349.0911632163934,63.10735180174269,93.19040303782836,29.67799033459241,13:44:07.273,0,-1
390.3625671305738,80.99888307302619,98.46310946525008,57.023517340101066,13:44:07.275,0,-1
703.9434349033658,79.84954256880889,46.36088100318487,52.852820513266366,13:44:07.277,0,-1
346.2340817215925,68.7320271901565,53.63348370637997,66.01144797581246,13:44:07.279,0,-1
435.7697134786992,43.65393380589965,95.22632974561004,35.51002558353801,13:44:07.281,0,-1
849.0937824093891,83.98777187003324,40.95439204319198,99.16438606207238,13:44:07.283,0,-1
867.2618530386028,82.07445627499584,95.22829542763522,12.478734251181043,13:44:07.285,-1,-1
893.4151047924786,37.69657831381872,41.170093462635045,69.27812586634569,13:44:07.287,0,-1
466.4348824663514,32.63052776143353,91.1950220228419,45.61640623550475,13:44:07.289,0,-1
367.4583574472354,30.90722661528649,61.6432192894271,26.20496404869861,13:44:07.291,0,-1
364.2642780979824,60.434457965614456,38.14373585539597,11.448534202188808,13:44:07.293,0,-1
898.4914951927341,19.651864832170823,23.261672227461133,46.19810945865214,13:44:07.295,0,-1
219.16852053240703,63.25855691016576,48.81646880193789,96.2917503974746,13:44:07.297,0,-1
999.8746660644888,23.73988521150756,69.13066870775836,84.1594329469836,13:44:07.299,0,-1
309.3516705711115,26.04491880725932,76.24742038949199,89.82144918086871,13:44:07.301,0,-1
638.3966316245945,25.209860217621152,73.76207597018556,40.75254023589857,13:44:07.303,0,-1
463.46952774399847,87.7993423690086,68.35872668518202,57.71205560059918,13:44:07.305,0,-1
134.21517276084748,39.287832646566805,32.12952151407524,25.835139968484896,13:44:07.307,0,-1
658.663902288895,79.85810314179575,24.16745227321016,33.60822006592477,13:44:07.309,0,-1
721.9464544316589,31.16320369112484,61.98935407679603,11.419406440955624,13:44:07.311,0,-1
473.5727965607784,58.22092948374843,10.065547855013053,24.11157001297105,13:44:07.313,0,-1
