Frequency (Hz),Angle of Arrival (degrees),Timestamp
43808576.313682005,19.625319452813912,16:19:36
62433492.2802268,14.339022752817645,16:09:45
28994321.919402905,13.449637292842356,15:27:35
69187694.59926598,3.719976960012352,16:25:03
11628387.19821726,11.894728088637525,15:46:12
6657022.0548038175,18.24753823510548,16:14:32
17568319.224483162,8.326012340310243,15:36:15
65868755.01704877,2.836532744524089,16:00:36
63752564.97692475,8.194456562238418,15:27:28
17635926.403716803,1.8309154770633551,16:20:32
46731204.84090988,19.599879618604056,15:41:51
45914319.84951226,5.064537682247847,16:11:53
37454950.40750122,16.224676321136506,16:09:46
38774008.99195198,13.256323212190324,15:28:09
63816042.44948338,13.019145095427431,15:46:27
40732293.1473005,16.097990830462777,16:22:46
57081668.48023074,7.173125650729251,16:25:06
69142386.04114066,11.10607591400246,15:56:27
32050949.31427583,0.1287067096259386,16:20:51
81756395.54939882,19.11898998840832,15:45:26
21267746.53438561,5.309034248233897,15:52:23
42069796.89170934,16.653360082435253,16:24:02
51879201.52095152,16.868002462445922,15:31:39
69560631.05353747,11.166986172241998,16:24:39
69741929.9499135,7.731027001561435,15:38:36
42830096.09411235,18.19278374612875,15:27:20
80411643.69171014,3.619294987666621,15:56:43
12611166.589258268,7.206049422386389,16:17:33
59399325.75403386,8.612652607850105,16:02:18
70487119.87592568,17.35963171555496,16:18:24
74325222.9577051,18.71376140588755,16:17:59
30948170.377841342,4.92240289665443,15:28:37
84397454.33687077,11.589367854234496,15:26:29
80141962.53656642,16.645892432885525,15:39:03
50360346.570072725,1.3305177539638224,15:37:04
26988843.6290176,3.6551993466369215,15:25:41
36798908.3643388,17.1334188130901,16:07:51
30335498.208800297,3.616631777809536,16:02:40
56037947.29132168,13.77699480108527,15:48:11
35877472.739267446,7.809097279427712,16:00:48
42325703.376728974,13.022496432266433,15:55:24
34720560.49039398,12.200005923914867,15:50:45
61824163.85737062,11.783330697333051,16:10:10
29314642.146271784,4.581666888313127,15:53:51
84679589.71057008,19.46167045049168,16:11:18
53992128.576798014,0.1384941896583802,16:06:39
17125713.1572557,5.585861509200876,15:51:13
25519731.45140962,11.208230921033898,16:17:35
68663452.09032162,17.748248782903122,15:25:33
15689605.831415825,1.5317769800366277,16:13:01
72307156.50052297,14.742067710166207,16:17:51
49562075.86315179,13.500297628643562,15:35:05
81853198.74573381,3.2172415008681954,16:01:09
11726840.798121326,19.344467366827665,16:04:08
18612477.711665805,17.09721310731609,15:42:57
58814607.61741722,0.0917405605465626,15:41:05
62190758.23397018,16.995132953386168,15:47:31
86896826.93579775,11.497304295544382,16:07:06
72005883.56991224,18.65407552952422,16:07:50
66308417.93830539,14.175440474867838,16:17:47
44855810.68418476,6.729511586616148,15:31:06
65542601.34313285,6.923756871006059,15:35:24
80949540.04212187,7.715792122234708,15:47:59
56940806.53968335,13.143148337532429,15:57:45
86146355.10154222,7.714597320892844,15:49:46
63469272.2538131,6.399302807381324,16:16:22
44169357.60475007,16.33737145190143,16:10:20
8920550.654198434,6.067284546640548,16:24:30
83876684.1626585,10.609885143459126,16:10:38
42063258.85847778,18.742740293647625,15:32:10
9798322.974833032,18.919766518351278,16:07:37
12824859.358784303,17.14351731342985,16:07:34
64426909.64647079,5.509697827801903,15:45:56
52081334.50882296,18.85524501518173,16:19:17
21075470.023047738,1.3694248243945184,15:25:36
59474995.53599536,6.066240600081949,15:27:07
15469880.5449555,15.546954647430072,15:51:12
43370529.71500333,19.188709059483173,16:01:57
83190678.10198534,17.261115500611368,15:45:45
68927437.66234231,0.0869960467368935,15:52:53
31630879.39814393,17.595554280590548,15:48:52
80302224.65747695,6.203742777336228,15:36:54
5882858.980700515,5.314502374654437,15:56:23
28171442.72392293,0.7810415767193479,15:28:29
49234604.36879114,14.695637041803096,15:45:15
