Frequency (Hz),Angle of Arrival (degrees)
1501.3906608545253,158.0932785699597
118.7380404654105,155.64110573270696
242.5877049288812,148.164735697142
57.60953703178748,154.3914498399205
1470.7422096069886,153.70497715486846
1059.28224470316,162.21780571567172
699.7917403951731,148.87886412088065
1579.1263692910095,166.53576329773168
1102.282476704237,158.96921382456347
1834.4846224734945,163.23408742068304
1366.4409008992125,152.90903867629825
1746.1100852093264,166.13430809525002
1666.5011208991718,154.30004156368076
336.16174918917477,154.17538270300258
1413.2915455062082,155.71979606597878
1267.9005508495381,152.48626730724556
1600.4814397154692,155.58253165472144
638.5964685688101,151.21960569698192
1240.9585950288915,145.93900756098182
203.59781523208736,169.2532429277302
1963.3202703923844,170.65912797624304
28.500881359891373,162.51792327077973
82.42924078274524,148.87829319521714
600.4910389462995,142.5186765729141
906.5692732255699,168.06664534724962
1902.5963137346675,164.6278483794189
863.0892216456722,140.86500288093214
961.3701855617021,154.87704416675518
530.7180878413839,155.752333870551
1131.6792201608198,157.21867028599314
747.0824350495657,170.11882609535093
882.1738997200581,146.67938684439463
1329.9601582410064,165.0358963130493
766.4406152052719,151.87076630761416
1396.7287280847431,165.5226454658244
833.0666822600746,138.81267194164462
660.3746332870113,138.37621502336978
1554.3972794916783,141.85691009260017
1885.0237521968704,164.42457899204413
1083.755440357833,151.5896514875807
1712.7827179545004,162.84479569341545
508.7630692091337,166.19058623139074
272.57134893891555,139.44952553252625
1644.2368639587514,166.4857966583962
1520.0910177677342,140.01989450733674
1012.6524872821492,148.39963676282312
984.6566409921764,141.34640676424328
1434.5116333074197,174.07854231099267
1785.3033752334777,149.86023031394515
459.1590236038816,148.04364983363814
364.08358455339425,37.45088814648547
1717.0255669707876,46.637894703809096
12.478159494473278,33.16459113573998
1265.3106479487103,36.114913435214746
1318.2204765136523,41.06050232214808
1542.6576178003395,35.63958222863216
1389.3609812900706,47.06630161234412
467.41620776529385,26.055353948381544
1924.3268008027376,28.453842663405183
939.1601451668053,32.45068339277207
377.08344348169504,31.80969943333215
