Frequency (Hz),Angle of Arrival (degrees)
1502.0949165216668,142.39792491620292
114.44257613114584,165.50187962099432
238.036376531896,152.8888991263684
50.22379105009561,156.0446099862
1469.0657379609722,168.0891925293471
1063.659016579496,170.5923436464664
300.15351300633097,123.5049478146899
699.5793255128301,143.87185807311076
332.90396356163046,151.4513194293056
1574.9382352208702,127.5606946309876
60.92878539069551,142.59880047981412
1102.282476704237,158.96921382456347
1823.7393115007944,164.1824764173083
1365.8900770411726,141.22432833967807
895.8049028056271,150.3142229076365
271.00589575000674,118.25846098874894
1748.1608764052555,174.70222242543147
1665.7204795991336,147.27529153623846
1296.16710917501,102.5101136442193
847.0127906327796,115.85085875659775
31.32212479169976,127.88208219673373
1348.755815517473,153.4794635524828
748.2743231157847,133.83517539951126
981.6687161686191,137.35840346128356
929.2041543334522,108.73423342783201
874.0115341950743,125.47660112918993
1411.6984690688955,159.15670175605314
532.8373708549713,141.57813607568684
1265.99442910066,135.7357929192958
1602.2717922308839,150.42620492264692
1198.3371068815022,92.09427415365619
435.1517325239677,157.70189966659345
1916.4363099109798,143.9674584750285
1534.8875136376184,98.61559197699873
1438.6601215349078,168.2815943488539
807.7842760179459,96.90560404011615
644.5298794983892,126.83756837468104
1939.0567025939968,118.15942430207723
1991.0931488586623,164.01024770177233
1237.264852162165,118.78009688269321
399.5885734853937,123.16991536051341
198.86874401231108,136.5701006759325
1871.231601145574,145.46312511903665
1962.115616376437,124.73725537986688
1958.0954367315535,118.53661671730464
81.28238360685184,143.9891008824766
1157.8862887774949,196.5774734442306
1084.5288923827604,140.26199856726015
600.4910389462995,142.5186765729141
1017.2168363081278,133.1763860030132
913.2844622538064,169.9174103896164
1902.5963137346675,164.6278483794189
349.56523117163255,100.73458538025908
1839.8572779598444,162.7598929223704
461.3551148450165,170.1191456327954
92.38286275838124,147.91633761505875
960.6303563270303,146.03218238604987
1123.0827352740537,137.046416355508
133.45967322383302,157.6822772313194
1330.2835900149173,155.12812691111355
766.4406152052719,151.87076630761416
1623.869123647708,106.88322389554857
1399.7196753130497,132.11045188240413
1725.954565243697,132.58579734704168
833.0666822600746,138.81267194164462
661.322921539125,130.61881982288435
1555.8204405744882,119.60533160133836
252.77691104973894,127.37510192171344
319.34859726248646,132.20895999454905
1885.0237521968704,164.42457899204413
1785.759110808709,154.18235403141279
1712.7827179545004,162.84479569341545
574.666031927844,181.9772092952888
673.2744573605012,156.52751139301702
1135.977462604203,167.3047972512357
1679.1904615112048,181.11580460527588
502.94948531517537,133.769776718001
1644.2368639587514,166.4857966583962
1520.0910177677342,140.01989450733674
1770.0644695331252,121.6360281253271
616.7743352948637,99.38452978512751
1855.3185764777957,106.062993946972
365.4996379534493,111.69523855440022
630.4159766306333,157.56078609151248
480.2411794481861,184.8828598061815
354.9532722838767,11.942115689132484
83.07575095972129,23.852103887401295
1714.9787335866179,33.03692037562491
810.3464609180422,40.87108593208598
12.478159494473278,33.16459113573998
1279.1543146302397,26.885443195888346
700.8984447398607,41.59204603028846
1315.1755502977371,13.288258471138786
1535.8411687990879,7.896574234959479
1383.0528848653553,48.566224922612896
1364.882328160632,8.091169750141852
1468.592017111352,12.281062320650832
474.6249135866818,18.35157383409165
1924.3268008027376,28.453842663405183
936.1636405757222,1.4703301265470916
1091.4308074367273,1.9829619821262376
371.56679828586255,29.339562096745848
826.2734677478572,31.141187509179463
1745.0571927900369,37.865910966342554
1808.249787946655,2.227257991637888
1332.8708688889444,70.94452436245791
428.580466646951,41.783444121258036
144.0100635547912,31.25732974798089
1605.4693082053138,21.106693302453184
1151.8088411099511,40.45672098953215
1253.1342952070452,24.940657288003553
1587.0713660088445,43.92716989842455
1783.793252838065,51.8382492485844
1444.1392311187826,34.05975351731982
603.0779800599638,14.451933993514384
238.61910226539655,70.7986112840204
200.317975730735,30.203259228428585
785.340562413021,51.06406656203203
1486.5102313805337,23.92949598881819
100.76556159803826,46.909158308244145
543.587942581695,61.12944877066703
628.3120906878625,57.63365576104719
714.9005900965991,55.0417166448221
267.8515867041593,61.65793562096562
70.52854597703086,57.17761770419924
952.58040243531,6.192245911916636
1035.7207549838959,43.76066044841758
1195.7093024541973,41.18340591831988
223.98493409240012,32.36107056185473
761.7084155182935,48.888225876762064
151.863905293787,83.78351626275544
1005.8169629507344,34.53650259640553
1890.0299410063024,-8.972211918347634
447.1453119522448,48.111019660451255
659.4623361835628,38.267557227322825
1230.7084192569191,26.643960001685613
518.3348966427577,43.32901708403615
1424.5959403048887,58.053174502361465
394.8077866470557,-15.685239897556658
686.7975490459019,45.97219112105337
886.8588724504712,17.09059820477502
1294.828234738868,32.51203921925332
1570.3426796809124,12.49470590995875
1831.908868744531,38.42924328096853
1123.428326443022,51.98454055002773
897.3658698174188,8.682834832448563
1622.7745637359253,36.08950039469036
39.29250010726795,-2.8794368735476166
671.4977921876377,-19.77197463447871
1351.8074907041826,39.89888069840278
557.9368843156341,25.36235324155858
179.9078530095161,35.09351044620605
339.4312992947699,66.6914122171657
1948.6639165443648,56.152407907398754
1503.0228800369825,8.462029956193039
1079.29964979307,8.165020310570643
1770.9303861310125,2.3448022313194343
1865.5181839037448,16.29541273637352
1266.694519448794,7.300582678767597
1173.6172090643377,31.2033526658836
1687.6532429530102,7.846565957053723
285.0265158817578,-2.998300211580002
1902.273041075788,-9.082131604719525
965.069817900352,36.62473279652923
1999.464225911748,13.236291880528428
460.2075019439059,33.75913406267144
1785.8700015335546,94.9412169823563
1878.7203438120453,90.36722700762166
